AERONET_Database_Site_List,Num=0,Date_Generated=25:08:2017,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Iqaluit,-68.542997,63.747575,15.000000,0,0,0,0,1,1,1,1,1,0,0,0
Kangerlussuaq,-50.621400,66.995800,320.000000,0,0,0,1,1,1,1,0,0,0,0,0
Bozeman,-111.045013,45.662204,1507.000000,1,1,1,1,1,1,1,1,1,1,1,1
Kanzelhohe_Obs,13.907000,46.678000,1526.000000,1,1,1,1,1,0,1,1,1,1,0,1
Ersa,9.359289,43.003669,80.000000,1,1,1,1,1,1,0,0,0,0,0,0
Helsinki,24.960650,60.203733,52.800000,0,1,1,1,1,1,1,1,1,1,1,0
Camaguey,-77.849900,21.422300,122.000000,1,1,1,1,1,1,1,0,0,0,0,0
El_Segundo,-118.382300,33.912500,25.000000,1,1,1,1,1,1,1,0,0,0,0,0
Dayton,-84.109618,39.775977,243.000000,1,1,1,1,1,1,1,0,0,0,0,0
Arcachon,-1.163222,44.663528,11.000000,1,1,1,1,1,1,0,0,0,0,0,0
Vechernaya_Hill,46.158000,-67.660000,80.000000,1,0,0,0,0,0,0,0,0,0,0,0
Manila_Observatory,121.077840,14.635250,63.000000,1,1,0,0,0,0,0,0,0,0,0,0
Ubon_Ratchathani,104.871011,15.245518,120.000000,1,1,1,1,1,1,1,0,0,0,0,0
Malaga,-4.477500,36.715000,40.000000,0,1,1,1,1,1,1,0,0,0,0,0
Jaipur,75.806217,26.905817,450.000000,1,1,1,0,0,0,0,0,0,0,0,0
Yellowknife_Aurora,-114.376250,62.451300,220.800000,0,1,1,1,1,1,1,1,0,0,0,0
Birkenes,8.252310,58.388450,230.000000,1,1,1,1,0,0,0,0,0,0,0,0
Bandung,107.610000,-6.888417,826.000000,1,1,1,1,1,1,1,1,1,0,0,0
Zinder_Airport,8.990233,13.776683,456.000000,0,0,1,1,1,0,0,0,0,0,0,0
LISCO,-73.341767,40.954517,12.000000,1,1,1,1,1,1,1,1,1,1,1,1
UMBC,-76.709353,39.254628,79.000000,1,1,1,0,0,0,0,0,0,0,0,0
Univ_of_Lethbridge,-112.868967,49.681672,737.000000,0,1,1,1,1,1,1,1,0,0,0,0
